"Qty";"Value";"Device";"Package";"Parts";"Description";"KEY";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW28";"";"P";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW67";"";"Prev";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW19";"";"Q";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW22";"";"R";
"2";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW32, SW32A";"";"RESTORE";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW48";"";"RETURN";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW34";"";"RUN";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW37";"";"S";
"2";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW51, SW51A";"";"SH.LEFT";
"2";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW62, SW62A";"";"SH.RIGHT";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW66";"";"SPACE";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW23";"";"T";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW25";"";"U";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW31";"";"UP ARR";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW55";"";"V";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW20";"";"W";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW53";"";"X";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW24";"";"Y";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW52";"";"Z";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW45";"";"[";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW46";"";"]";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW59";"";"comma";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW60";"";"period";
"1";"MXHOTSWAP";"MXHOTSWAP";"CHERRYMX_HOTSWAP";"SW14";"";"£";
"1";"OPEN_SOURCE_HW";"OPEN_SOURCE_HW";"OPENHW";"U$90";"";"";
"1";"PCF8575-MODULE";"PCF8575-MODUL";"PCF8575MODUL";"M1";"";"";
"1";"PRO_MICRO";"PRO_MICRO";"PRO_MICRO";"M2";"";"";
"1";"RMP-14P/HT";"RMP-14P/HT";"RMP-14P/HT";"SPK1";"";"";
"1";"SN74HC74D";"7474HC";"SO-14";"IC1";"Dual D-Flip-Flop SO14";"";
"1";"TL7705ACD";"TL7705ACD";"SO8";"IC3";"";"";
