"Designator";"Mid X";"Mid Y";"Layer";"Rotation";"Footprint"
"SW46";"241.280mm";"47.950mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW47";"260.320mm";"47.950mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW48";"288.880mm";"47.950mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW49";"353.850mm";"47.950mm";"top";"270";"CHERRYMX_HOTSWAP"
"SW49A";"349.100mm";"47.950mm";"top";"90";"CHERRYMX_HOTSWAP"
"SW50";"12.800mm";"28.900mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW51";"41.360mm";"28.900mm";"top";"270";"CHERRYMX_HOTSWAP"
"SW51A";"36.610mm";"28.900mm";"top";"90";"CHERRYMX_HOTSWAP"
"SW52";"60.400mm";"28.900mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW53";"79.440mm";"28.900mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW54";"98.480mm";"28.900mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW55";"117.520mm";"28.900mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW56";"136.560mm";"28.900mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW57";"155.600mm";"28.900mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW58";"174.640mm";"28.900mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW59";"193.680mm";"28.900mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW60";"212.720mm";"28.900mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW61";"231.760mm";"28.900mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW62";"260.320mm";"28.900mm";"top";"270";"CHERRYMX_HOTSWAP"
"SW62A";"255.570mm";"28.900mm";"top";"90";"CHERRYMX_HOTSWAP"
"SW63";"279.360mm";"28.900mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW64";"298.400mm";"28.900mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW65";"353.850mm";"28.900mm";"top";"270";"CHERRYMX_HOTSWAP"
"SW65A";"349.100mm";"28.900mm";"top";"90";"CHERRYMX_HOTSWAP"
"SW66";"141.380mm";"9.850mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW67";"65.180mm";"9.850mm";"top";"0";"CHERRYMX_HOTSWAP"
"SW68";"217.580mm";"9.850mm";"top";"0";"CHERRYMX_HOTSWAP"
"U$90";"311.398mm";"2.884mm";"top";"0";"OPENHW"
"U$92";"349.100mm";"86.050mm";"top";"0";"KCAP_1_5U"
"U$93";"349.100mm";"67.000mm";"top";"0";"KCAP_1_5U"
"U$94";"349.100mm";"47.950mm";"top";"0";"KCAP_1_5U"
"U$95";"349.100mm";"28.900mm";"top";"0";"KCAP_1_5U"
"U$96";"255.570mm";"28.900mm";"top";"0";"KCAP_1_5U"
"U$97";"22.450mm";"67.000mm";"top";"0";"KCAP_1_5U"
"U$98";"36.610mm";"28.900mm";"top";"0";"KCAP_1_5U"
"U$99";"65.180mm";"9.850mm";"top";"0";"KCAP_1U"
"U$100";"217.580mm";"9.850mm";"top";"0";"KCAP_1U"
"U$101";"17.600mm";"86.050mm";"top";"0";"KCAP_1U"
"U$102";"303.200mm";"86.050mm";"top";"0";"KCAP_1U"
"U$103";"298.400mm";"28.900mm";"top";"0";"KCAP_1U"
"U$104";"141.380mm";"9.850mm";"top";"0";"KCAP_7U"
"U$105";"288.880mm";"47.950mm";"top";"0";"KCAP_2U"
"U$106";"298.510mm";"67.000mm";"top";"0";"KCAP_1_5U"
"U$107";"12.800mm";"47.950mm";"top";"0";"KCAP_1U"
"U$108";"12.800mm";"28.900mm";"top";"0";"KCAP_1U"
"U$109";"36.640mm";"86.050mm";"top";"0";"KCAP_1U"
"U$110";"55.680mm";"86.050mm";"top";"0";"KCAP_1U"
"U$111";"74.720mm";"86.050mm";"top";"0";"KCAP_1U"
"U$112";"93.760mm";"86.050mm";"top";"0";"KCAP_1U"
"U$113";"112.800mm";"86.050mm";"top";"0";"KCAP_1U"
"U$114";"131.840mm";"86.050mm";"top";"0";"KCAP_1U"
"U$115";"150.880mm";"86.050mm";"top";"0";"KCAP_1U"
"U$116";"169.920mm";"86.050mm";"top";"0";"KCAP_1U"
